订单号,订单时间,订单金额,退款时间,退款金额
75330477115081,2016-05-14 12:46:00,US $ 17.59,2016-07-13 18:16,US $ 17.59
75315689968113,2016-05-16 01:51:35,US $ 6.28,2016-07-13 03:09,US $ 6.28
75290957086638,2016-05-12 23:04:40,US $ 0.62,2016-07-13 18:38,US $ 0.62
75259500788177,2016-05-13 05:17:27,US $ 3.03,2016-07-11 18:42,US $ 3.03
75452603102474,2016-05-20 23:20:21,US $ 2.04,2016-07-11 18:17,US $ 2.04
76048210657393,2016-06-13 05:29:06,US $ 2.34,2016-07-13 18:30,US $ 2.34
75204491503309,2016-05-10 13:03:22,US $ 2.08,2016-07-10 19:02,US $ 2.08
76319839053921,2016-06-22 13:57:48,US $ 1.34,2016-07-10 18:54,US $ 1.34
75752444993133,2016-06-02 12:15:10,US $ 5.66,-,-
75146375033255,2016-05-08 09:38:28,US $ 1.11,2016-07-12 02:17,US $ 1.11
75486365872364,2016-05-22 10:02:13,US $ 5.25,2016-07-06 03:25,US $ 5.25
75903481948483,2016-06-08 12:56:51,US $ 20.83,2016-07-13 18:37,US $ 10.00
75704712681692,2016-05-29 11:14:37,US $ 2.37,2016-07-13 18:40,US $ 2.37
75735128534489,2016-06-01 23:43:36,US $ 2.42,2016-06-29 01:20,US $ 2.42
75242416143171,2016-05-11 23:08:39,US $ 5.27,2016-06-29 01:20,US $ 5.27
75307881481960,2016-05-15 15:03:13,US $ 6.83,2016-07-05 18:25,US $ 6.83
75465172609708,2016-05-20 05:20:01,US $ 7.75,2016-07-09 22:26,US $ 7.75
75270481428692,2016-05-14 06:02:34,US $ 1.04,2016-06-30 01:18,US $ 1.04
75107863652754,2016-05-07 09:18:24,US $ 8.00,2016-06-27 22:48,US $ 8.00
75388935288550,2016-05-17 10:30:21,US $ 19.95,2016-06-28 18:32,US $ 14.74
75497136940693,2016-05-21 12:35:31,US $ 5.17,2016-06-29 01:33,US $ 5.17
75132783795076,2016-05-08 12:09:49,US $ 0.55,2016-06-27 22:52,US $ 0.55
75701545479780,2016-05-31 01:40:05,US $ 21.39,2016-06-27 18:54,US $ 8.78
75234211409813,2016-05-11 12:23:49,US $ 7.29,2016-06-27 19:08,US $ 7.29
74798683491056,2016-04-25 14:22:40,US $ 5.73,2016-07-06 23:42,US $ 0.90
75188833890744,2016-05-09 08:33:27,US $ 1.00,2016-06-23 14:38,US $ 1.00
75660594718714,2016-05-27 11:13:12,US $ 12.93,2016-06-27 18:13,US $ 12.93
75175425579501,2016-05-10 05:24:18,US $ 1.42,2016-06-24 19:37,US $ 1.42
74680656340928,2016-04-19 12:37:24,US $ 0.86,2016-06-23 23:13,US $ 0.86
74620675647122,2016-04-16 13:42:17,US $ 0.55,2016-06-22 03:04,US $ 0.55
74776792578741,2016-04-22 09:22:54,US $ 0.55,2016-06-20 20:30,US $ 0.55
74633695844062,2016-04-18 00:23:54,US $ 14.61,2016-06-29 03:08,US $ 14.61
74861299375211,2016-04-26 13:47:32,US $ 0.86,2016-06-17 19:44,US $ 0.86
75522842212811,2016-05-23 21:25:43,US $ 3.72,-,-
74594498363443,2016-04-16 07:48:57,US $ 0.55,2016-06-17 19:40,US $ 0.55
75457449463538,2016-05-21 05:33:48,US $ 23.43,2016-06-15 21:08,US $ 4.00
74809963472787,2016-04-26 04:16:34,US $ 21.15,2016-06-27 22:50,US $ 21.15
74733672561088,2016-04-20 19:50:30,US $ 9.17,2016-06-15 18:32,US $ 9.17
75027276348098,2016-05-02 13:51:00,US $ 1.42,2016-06-15 19:09,US $ 1.42
74533747702124,2016-04-14 11:26:03,US $ 4.84,2016-06-25 21:40,US $ 4.84
74638505950587,2016-04-18 14:10:11,US $ 5.35,2016-06-25 00:16,US $ 5.35
74601366236576,2016-04-18 00:09:06,US $ 0.65,2016-06-10 03:13,US $ 0.65
74541219752947,2016-04-14 05:43:25,US $ 1.56,2016-06-09 19:24,US $ 1.56
74541498692947,2016-04-14 05:45:20,US $ 1.56,2016-06-09 19:24,US $ 1.56
75554368722229,2016-05-25 03:39:02,US $ 7.06,2016-06-10 03:13,US $ 7.06
75012843940034,2016-05-04 06:07:16,US $ 5.79,2016-06-24 02:54,US $ 5.79
74664248556515,2016-04-20 07:42:57,US $ 4.22,2016-06-10 19:28,US $ 4.22
74619740625921,2016-04-18 00:48:43,US $ 0.55,2016-06-09 19:33,US $ 0.55
74516719384253,2016-04-12 19:09:56,US $ 4.97,2016-06-08 03:36,US $ 4.97
74596259836495,2016-04-16 09:12:05,US $ 0.90,2016-06-09 19:38,US $ 0.90
74435625904003,2016-04-11 02:51:57,US $ 0.61,2016-06-12 19:09,US $ 0.61
74501714870540,2016-04-12 06:26:44,US $ 9.93,2016-06-22 03:05,US $ 9.93
74697032185755,2016-04-19 10:48:52,US $ 9.31,2016-06-07 23:52,US $ 9.31
74590927117009,2016-04-17 12:24:17,US $ 0.54,2016-06-07 23:00,US $ 0.54
75418425492681,2016-05-19 06:12:26,US $ 1.66,2016-06-07 18:04,US $ 0.83
75418425492681,2016-05-19 06:12:26,US $ 1.66,2016-06-07 18:04,US $ 0.83
74372371916188,2016-04-07 23:04:55,US $ 3.25,2016-06-09 18:54,US $ 3.25
74372096706188,2016-04-07 23:33:55,US $ 0.65,2016-06-07 02:10,US $ 0.65
75499534195305,2016-05-21 14:18:58,US $ 10.59,2016-06-14 18:29,US $ 10.59
74594136593321,2016-04-16 07:14:05,US $ 0.54,2016-06-09 18:50,US $ 0.54
74824130178913,2016-04-25 08:28:38,US $ 1.06,2016-06-05 19:12,US $ 1.06
74606024537487,2016-04-17 11:40:15,US $ 2.58,2016-06-09 18:49,US $ 2.58
74440882784521,2016-04-11 13:00:06,US $ 0.54,2016-06-05 18:17,US $ 0.54
74617770507493,2016-04-17 07:57:36,US $ 0.54,2016-06-07 23:06,US $ 0.54
74835678885577,2016-04-24 16:18:34,US $ 3.46,2016-06-07 23:08,US $ 3.46
74590236526217,2016-04-15 10:05:12,US $ 0.65,2016-06-08 05:04,US $ 0.65
74646898007720,2016-04-18 09:16:35,US $ 5.79,2016-06-05 18:46,US $ 5.79
74616313776698,2016-04-16 10:26:26,US $ 0.54,2016-06-06 19:06,US $ 0.54
74252729971718,2016-04-04 11:39:37,US $ 0.54,2016-06-05 18:57,US $ 0.54
74508248498485,2016-04-14 04:32:30,US $ 1.10,2016-06-01 19:01,US $ 1.10
74394054937248,2016-04-08 15:49:27,US $ 0.55,2016-06-05 18:48,US $ 0.55
74732166538665,2016-04-22 22:59:50,US $ 4.89,2016-06-06 19:08,US $ 4.89
74509684272441,2016-04-14 05:08:59,US $ 0.61,2016-06-05 18:12,US $ 0.61
74739471435710,2016-04-21 02:51:04,US $ 0.66,2016-06-04 01:12,US $ 0.66
74581070035928,2016-04-15 02:20:46,US $ 1.11,2016-06-04 01:09,US $ 1.11
73759585488126,2016-03-18 07:25:41,US $ 5.59,2016-06-15 02:57,US $ 5.59
74523652358817,2016-04-13 12:31:41,US $ 0.85,2016-06-03 19:28,US $ 0.85
75063032816296,2016-05-04 00:35:57,US $ 0.55,2016-05-30 18:28,US $ 0.54
74429186268917,2016-04-10 20:20:03,US $ 0.54,2016-06-01 19:04,US $ 0.54
74811946040438,2016-04-25 13:39:08,US $ 0.54,2016-05-27 19:45,US $ 0.54
74793808408285,2016-04-25 11:53:46,US $ 0.90,2016-05-31 03:04,US $ 0.90
74387437754571,2016-04-07 19:50:13,US $ 0.54,2016-05-26 18:00,US $ 0.54
74464032508752,2016-04-10 18:47:51,US $ 3.50,2016-05-30 18:50,US $ 1.08
74464032508752,2016-04-10 18:47:51,US $ 3.50,2016-05-30 18:50,US $ 1.08
74464032508752,2016-04-10 18:47:51,US $ 3.50,2016-05-30 18:50,US $ 1.08
74291884838603,2016-04-06 01:15:44,US $ 0.85,2016-05-29 19:04,US $ 0.85
74387188039918,2016-04-09 05:59:50,US $ 0.54,2016-05-29 19:29,US $ 0.54
74073283570600,2016-03-29 23:42:05,US $ 0.54,2016-05-30 04:04,US $ 0.54
74657995759240,2016-04-18 02:08:01,US $ 0.66,2016-05-27 20:01,US $ 0.66
74657428525262,2016-04-19 10:42:53,US $ 0.54,2016-05-27 19:44,US $ 0.54
74030709411031,2016-03-29 08:33:39,US $ 3.09,2016-05-23 21:09,US $ 2.55
74030709411031,2016-03-29 08:33:39,US $ 3.09,2016-05-23 21:09,US $ 2.55
74498817850843,2016-04-12 14:34:12,US $ 0.61,2016-05-23 18:54,US $ 0.61
74384132760994,2016-04-08 08:34:08,US $ 0.54,2016-05-23 19:14,US $ 0.54
74444946114213,2016-04-11 10:02:52,US $ 0.54,2016-05-22 18:44,US $ 0.54
73602527888503,2016-03-12 06:20:59,US $ 0.54,2016-05-22 18:45,US $ 0.54
74404153566063,2016-04-08 08:49:31,US $ 0.55,2016-05-22 18:45,US $ 0.55
74369488920462,2016-04-08 22:05:56,US $ 2.55,2016-05-25 04:08,US $ 2.55
74301172823759,2016-04-05 08:07:22,US $ 0.85,2016-05-22 19:05,US $ 0.85
74465998703770,2016-04-10 23:59:51,US $ 0.99,2016-05-20 19:05,US $ 0.99
74275933275836,2016-04-04 09:38:36,US $ 0.55,2016-05-20 07:36,US $ 0.55
74004159341514,2016-03-28 05:28:06,US $ 0.66,2016-05-19 18:18,US $ 0.66
74178625574270,2016-04-01 12:32:35,US $ 0.54,2016-05-19 18:13,US $ 0.54
75161288246911,2016-05-10 08:10:03,US $ 21.55,2016-05-24 01:54,US $ 21.55
74195584942543,2016-04-02 01:37:07,US $ 0.54,2016-05-27 20:30,US $ 0.54
74198137435890,2016-04-01 12:36:05,US $ 0.54,2016-05-18 18:05,US $ 0.54
74294680697606,2016-04-06 02:00:37,US $ 0.54,2016-05-17 22:37,US $ 0.54
74161907133227,2016-04-01 03:12:25,US $ 1.62,2016-05-17 18:08,US $ 1.62
74245659871976,2016-04-03 07:21:56,US $ 0.85,2016-05-18 18:09,US $ 0.85
74683926305163,2016-04-21 01:38:22,US $ 0.55,2016-05-17 18:06,US $ 0.55
74359671144023,2016-04-06 15:30:12,US $ 0.65,2016-05-17 18:17,US $ 0.65
73296125683138,2016-02-29 01:19:01,US $ 1.65,2016-05-18 19:16,US $ 1.65
74583573901736,2016-04-15 17:14:35,US $ 22.76,2016-05-31 09:20,US $ 22.76
74250455733885,2016-04-03 10:01:54,US $ 0.54,2016-06-01 19:01,US $ 0.54
73716772190198,2016-03-15 10:56:33,US $ 28.18,2016-05-31 03:04,US $ 28.18
73724637960198,2016-03-15 10:54:32,US $ 28.18,2016-05-31 03:04,US $ 28.18
73696349253330,2016-03-16 01:08:13,US $ 0.62,2016-05-17 18:21,US $ 0.62
74320661199595,2016-04-06 14:19:21,US $ 0.85,2016-05-15 18:24,US $ 0.85
73679640410346,2016-03-15 07:20:56,US $ 8.25,-,-
74177634693228,2016-03-31 11:20:30,US $ 1.32,2016-05-27 03:08,US $ 0.66
74180995718909,2016-03-31 12:45:42,US $ 0.85,2016-05-15 21:12,US $ 0.85
73896455810415,2016-03-23 00:31:59,US $ 1.10,2016-05-12 01:16,US $ 1.10
73945284028237,2016-03-27 04:58:29,US $ 0.54,2016-05-11 23:02,US $ 0.54
74104754529403,2016-03-29 15:59:18,US $ 0.85,2016-05-11 23:01,US $ 0.85
73992314514931,2016-03-27 11:57:53,US $ 0.54,2016-05-10 18:42,US $ 0.54
73798956185933,2016-03-18 06:44:50,US $ 0.66,2016-05-10 01:05,US $ 0.66
73663775737281,2016-03-13 12:50:42,US $ 0.55,2016-05-25 03:32,US $ 0.55
73925274160601,2016-03-23 14:12:31,US $ 0.55,2016-05-11 23:00,US $ 0.55
73855550413298,2016-03-20 12:06:20,US $ 1.41,2016-05-12 23:46,US $ 1.41
